Feature,SMOTE-ENN_Rank,SMOTE-ENN_Score,BorderlineSMOTE_Rank,BorderlineSMOTE_Score,ADASYN_Rank,ADASYN_Score,Conservative_SMOTE_Rank,Conservative_SMOTE_Score,Avg_Rank,Avg_Score,Score_Std
DATA_R,1,0.8735260836609693,3,0.8223044234452205,3,0.9057521677139833,1,0.9331644449024664,2.0,0.8836867799306599,0.041249103340197706
Time,3,0.814128415485065,1,0.8528043753885743,4,0.8800111707369,2,0.9120428057310956,2.5,0.8647466918354088,0.03596788681784059
SCH_S,6,0.7543508567663293,2,0.8430314946521515,1,0.9288379110394798,6,0.8637678040036694,3.75,0.8474970166154074,0.062404382075653235
Data_Sent_To_BS,2,0.8180775542191451,6,0.7748018475233285,6,0.8441185254621992,3,0.9018090715680804,4.25,0.8347017496931883,0.04597942602464222
dist_CH_To_BS,4,0.8004242778805304,5,0.7949513273100008,5,0.8445638244923277,4,0.8930398377065278,4.5,0.8332448168473467,0.039519436903364936
JOIN_R,7,0.7335066994912034,4,0.8221502629166928,2,0.9101190424023635,7,0.8552068311532581,5.0,0.8302457089908795,0.06408349868723182
Expaned Energy,5,0.7874846842405815,7,0.7673509888460394,7,0.8199461359637583,5,0.8901402733956981,6.0,0.8162305206115194,0.046615418823447025
ADV_R,8,0.672200543915939,8,0.671160631996991,8,0.6917579320137893,8,0.8305693483974443,8.0,0.716422114081041,0.06641171208349143
SCH_R,11,0.5370162086398871,9,0.5869716044611388,9,0.679601891618882,10,0.7708773769140995,9.75,0.6436167704085018,0.08953008643926195
Rank,10,0.5381483472721418,10,0.5835306917971363,10,0.6732889023598714,9,0.7774809189603333,9.75,0.6431122150973707,0.09156002470996802
ADV_S,9,0.5391423693687865,11,0.5584324333185349,11,0.6127681322947293,11,0.7500697361728614,10.5,0.615103167788728,0.08246672361342684
Dist_To_CH,12,0.48389472427068414,12,0.5267981477102375,12,0.6101920425381104,12,0.7441624342393165,12.0,0.5912618371895871,0.09927261637850018
JOIN_S,13,0.4767834101859567,13,0.520026098242824,13,0.603018196924701,13,0.7392951817294373,13.0,0.5847807217707297,0.10007984863860223
send_code,14,0.4752161554662913,14,0.5162683696298717,14,0.5826728494675805,14,0.7383979057569074,14.0,0.5781388200801627,0.1001555783451096
DATA_S,15,0.44085678200377393,15,0.4822564737452581,15,0.5640856397878808,15,0.7179878075441815,15.0,0.5512966757702735,0.10596344964599899
Is_CH,16,0.4070263041842961,16,0.4488064661319009,16,0.5348610938253942,16,0.6964397629708756,16.0,0.5217834067781166,0.1108723309925073
