Model,Experiment,Accuracy,F1_Weighted,Precision_Weighted,Recall_Weighted,Training_Time,Run_ID
Gradient_Boosting_Conservative_SMOTE,With Oversampling,0.9962410126028596,0.9962313110018386,0.9962653942032011,0.9962410126028596,1711.935387,2d6dbb93bd61416c9a47bbde127eabd6
Gradient_Boosting_No_Oversampling,No Oversampling,0.996145329287296,0.9961277161463785,0.996133598145134,0.996145329287296,780.333132,c86f40ea58604ac89bdfe76d525a23c1
Neural_Network_No_Oversampling,No Oversampling,0.9958992864758468,0.9958876132415402,0.9959596652829565,0.9958992864758468,14.3951,47a71bf744954fd2bd7d226cb8465c25
HistGradient_Boosting_No_Oversampling,No Oversampling,0.9957625960250417,0.9957416239115221,0.995745322391476,0.9957625960250417,2.136173,34883feff1b64977b82f6453c5b9cd37
Random_Forest_No_Oversampling,No Oversampling,0.9957352579348807,0.9957279607385819,0.9957906304819364,0.9957352579348807,2.292358,ed00a5d232c44e99b168d69d50f49ed0
Random_Forest_BorderlineSMOTE,With Oversampling,0.9957215888898001,0.9957260382858689,0.9957844001511778,0.9957215888898001,25.155267,f38be75faa0d4f3d80967a8c6381dade
Gradient_Boosting_ADASYN,With Oversampling,0.9956805817545586,0.9956838798621926,0.9957130380706645,0.9956805817545586,8042.069303,6ac94590dbd24875b21b69d1c80479c6
Gradient_Boosting_SMOTE_ENN,With Oversampling,0.9956259055742366,0.995640069973496,0.995718807867666,0.9956259055742366,5720.920252,aad522b446f0426ea8c3800a208451e7
HistGradient_Boosting_Conservative_SMOTE,With Oversampling,0.995502884168512,0.9955074931541942,0.995562401865571,0.995502884168512,5.037023,333f2b9f9c5c4eff8cb1e57cebdede74
Gradient_Boosting_BorderlineSMOTE,With Oversampling,0.9953798627627873,0.9953790396628245,0.9953951697790273,0.9953798627627873,6248.277406,881ea98712a14a2daca1b2a454a48905
Neural_Network_Conservative_SMOTE,With Oversampling,0.9952158342218212,0.9952297690900006,0.9953051962443418,0.9952158342218212,27.265995,915ec0e3d0c64c95a3c8a3d7f84dbafc
Random_Forest_Conservative_SMOTE,With Oversampling,0.9950244675906941,0.9950399286089262,0.9951261720821966,0.9950244675906941,5.352253,c02f917045f44c40a24fdeafc52703c5
Random_Forest_SMOTE_ENN,With Oversampling,0.9946143962382787,0.9946502542068726,0.9947683280809914,0.9946143962382787,19.351086,6761c6eeb62f4b55bce9dad61f741197
