Oversampling,Model,Mean_Accuracy,Std_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Mean_F1_Weighted,Std_F1_Weighted,Mean_F1_Macro,Std_F1_Macro,Mean_Precision_Weighted,Std_Precision_Weighted,Mean_Recall_Weighted,Std_Recall_Weighted,Mean_Matthews_Corrcoef,Std_Matthews_Corrcoef,Mean_Cohen_Kappa,Std_Cohen_Kappa,Mean_Training_Time,Run_ID
Conservative_SMOTE,Gradient_Boosting,0.9963776835022745,0.00011448675666975378,0.9793782249390152,0.0005638635485140652,0.9963714492612583,0.00011323752200893202,0.9762767195119592,0.000745636867025857,0.9964088916643995,0.00011209381035012001,0.9963776835022745,0.00011448675666975378,0.9791164434393457,0.0006580652482254839,0.9791128396554418,0.0006580406340633762,616.5866500000001,5e2c0284c58e4f6b9932eda6149850db
Conservative_SMOTE,HistGradient_Boosting,0.9958801277949987,0.00013296133180619712,0.9799727815791325,5.408690844089289e-05,0.9958830141093907,0.00013064045152880077,0.9736835669863328,0.0004394222135246855,0.9959331945413692,0.0001201017738622938,0.9958801277949987,0.00013296133180619712,0.9763187611626956,0.0007542122197360422,0.976310062241,0.0007560753806195072,4.636147,f729e2f42f4942fd972a85601efbf6a0
Conservative_SMOTE,Random_Forest,0.9956641555374475,0.00014444333835245194,0.980504611317864,0.0006027647818559468,0.9956723466598115,0.00014204136279015193,0.9732532292312351,0.000823170920133759,0.9957421036112208,0.00013699736232930269,0.9956641555374475,0.00014444333835245194,0.975126526468841,0.0008205545405727575,0.9751090589029655,0.0008220884162066391,2.6640746666666666,99d79426516841329e6390d3c8d3300d
BorderlineSMOTE,Random_Forest,0.9956614209885278,0.00010310671077193516,0.979616399650129,0.0004817331003424046,0.995671874793564,0.00010417259322351033,0.972163463254151,0.0006652693111202821,0.9957403361132623,0.00011459664345665113,0.9956614209885278,0.00010310671077193516,0.9751005464377279,0.0005862746863040368,0.975085220113022,0.0005865827042818743,13.548486666666667,15b322f532a6428f96e1ed8b831ba03e
BorderlineSMOTE,Gradient_Boosting,0.9955903417523174,5.02776532628355e-05,0.9764531216837051,0.001187697322727925,0.9955946882805521,4.943178318977776e-05,0.9716373533661523,0.0004409704491740003,0.9956235873217599,5.370714154161847e-05,0.9955903417523174,5.02776532628355e-05,0.9746528802056426,0.00027677181428537126,0.974645229149107,0.0002777678534894675,2134.0450123333335,9c46201828f143a89f26ac80d2edf60b
ADASYN,Gradient_Boosting,0.9953771035279955,0.00014584888922220514,0.9771194598551961,0.0004314834815804231,0.995386231668284,0.0001448355299587923,0.9708806234357269,0.0005874898918207641,0.9954195859316949,0.00014609350369837711,0.9953771035279955,0.00014584888922220514,0.9734793288811142,0.0008230765584158557,0.9734643308600838,0.0008252637330291392,2246.8062916666663,120ad6ba43314c7697d19ccb0e6ee410
SMOTE_ENN,Gradient_Boosting,0.9952950886072941,0.00012355073902940069,0.9813228681709436,0.00013535666776378534,0.9953159460571559,0.00012269408562076437,0.9705823319877543,0.0007697265999351035,0.995395148542138,0.00012529450920886382,0.9952950886072941,0.00012355073902940069,0.9731153295945402,0.0006888676871124798,0.973075575673879,0.0006931915357768655,2088.6272136666666,662d5c12430040999aae6182799c3518
SMOTE_ENN,Random_Forest,0.9948467419555772,0.00022010014361845053,0.9817444436688274,0.00036779618301968387,0.9948768722780282,0.0002159963792213403,0.9694693076653497,0.0012685893796623743,0.9949740708119134,0.00020722905107027655,0.9948467419555772,0.00022010014361845053,0.9706545483329355,0.0012254293080499817,0.9705860048188075,0.0012344997097794134,10.213962333333333,be880051fd064ee5b9f1d3a643bb0dcd
SMOTE_ENN,HistGradient_Boosting,0.994111343406515,0.0002740608657171865,0.9811475459039866,0.0013351138595356915,0.9941625483639553,0.00026843807629210254,0.9652724315665392,0.001869124468845485,0.9942822575891045,0.00025685050357708296,0.994111343406515,0.0002740608657171865,0.9666174075720448,0.0015379708819926669,0.9665023069793791,0.0015447193237869243,7.421055666666667,520f8085a18947f5bce6196464ead9df
BorderlineSMOTE,HistGradient_Boosting,0.9919707594896129,0.0004294549583461363,0.970184126797227,0.002529045941216788,0.9920799988450891,0.00042134131185762576,0.9545036881956083,0.0011654115612590823,0.9922956530389326,0.000397107954860131,0.9919707594896129,0.0004294549583461363,0.9546275254814501,0.002369537280583824,0.9544560814531335,0.0023916018264187374,8.689932333333333,fe96ff051d1d433bb2ce3039f8e5b9b4
Conservative_SMOTE,Extra_Trees,0.9910685966174922,0.0005702719646130744,0.9694871128912746,0.0028307358652786166,0.991162047894521,0.000563827234682693,0.9501166387342309,0.0036076322178819004,0.9914772573727398,0.0005066578705053646,0.9910685966174922,0.0005702719646130744,0.9496122212209808,0.003208023354793411,0.9494033428890285,0.00322063525380633,1.0788156666666666,4b07ef83cc8e416599f0b73e9b470013
SMOTE_ENN,Extra_Trees,0.9895759298768277,0.0001754801459445905,0.969700777925672,0.0012702993078183946,0.9897360273151913,0.00016587666520441672,0.9455636949692329,0.0009675520870332333,0.990143512568392,0.00014361464748381816,0.9895759298768277,0.0001754801459445905,0.9418104115222872,0.0009474884491060027,0.9414089180818044,0.0009588798008855844,4.855337666666667,692b40ee1ded4349bf9a9ab85c7e7da9
ADASYN,HistGradient_Boosting,0.9878372142485364,0.0007610012323099584,0.9742368384261654,0.0038307159769626026,0.9884090652173344,0.0007207353625666832,0.9351945122862274,0.005715037347943489,0.9896390253530636,0.0006701813134031984,0.9878372142485364,0.0007610012323099584,0.9336878646927964,0.003908922109065731,0.9326804623045079,0.0040312114160934226,9.132136000000001,cdad96a4a8bc4b3897ac7c87246cbd07
