Feature,Mean_Score,Std_Score,Min_Score,Max_Score,Score_Range,Consistency
DATA_R,0.8836867799306599,0.041249103340197706,0.8223044234452205,0.9331644449024664,0.11086002145724594,0.9587508966598023
Time,0.8647466918354088,0.03596788681784059,0.814128415485065,0.9120428057310956,0.09791439024603066,0.9640321131821594
SCH_S,0.8474970166154074,0.062404382075653235,0.7543508567663293,0.9288379110394798,0.17448705427315048,0.9375956179243468
Data_Sent_To_BS,0.8347017496931883,0.04597942602464222,0.7748018475233285,0.9018090715680804,0.12700722404475195,0.9540205739753578
dist_CH_To_BS,0.8332448168473467,0.039519436903364936,0.7949513273100008,0.8930398377065278,0.098088510396527,0.9604805630966351
JOIN_R,0.8302457089908795,0.06408349868723182,0.7335066994912034,0.9101190424023635,0.17661234291116013,0.9359165013127682
Expaned Energy,0.8162305206115194,0.046615418823447025,0.7673509888460394,0.8901402733956981,0.12278928454965876,0.953384581176553
ADV_R,0.716422114081041,0.06641171208349143,0.671160631996991,0.8305693483974443,0.1594087164004533,0.9335882879165086
SCH_R,0.6436167704085018,0.08953008643926195,0.5370162086398871,0.7708773769140995,0.23386116827421244,0.910469913560738
Rank,0.6431122150973707,0.09156002470996802,0.5381483472721418,0.7774809189603333,0.23933257168819155,0.908439975290032
ADV_S,0.615103167788728,0.08246672361342684,0.5391423693687865,0.7500697361728614,0.21092736680407498,0.9175332763865731
Dist_To_CH,0.5912618371895871,0.09927261637850018,0.48389472427068414,0.7441624342393165,0.26026770996863235,0.9007273836214998
JOIN_S,0.5847807217707297,0.10007984863860223,0.4767834101859567,0.7392951817294373,0.2625117715434806,0.8999201513613978
send_code,0.5781388200801627,0.1001555783451096,0.4752161554662913,0.7383979057569074,0.26318175029061613,0.8998444216548904
DATA_S,0.5512966757702735,0.10596344964599899,0.44085678200377393,0.7179878075441815,0.2771310255404075,0.894036550354001
Is_CH,0.5217834067781166,0.1108723309925073,0.4070263041842961,0.6964397629708756,0.28941345878657954,0.8891276690074927
