Feature,KS_Statistic,KS_P_Value,KS_Significant,KS_Quality_Score,JS_Divergence,JS_Similarity,Combined_Score
SCH_S,0.09498645053288035,0.0,True,0.9050135494671196,0.04733772738816026,0.9526622726118398,0.9288379110394798
JOIN_R,0.09583070789886183,0.0,True,0.9041692921011382,0.08393120729641103,0.916068792703589,0.9101190424023635
DATA_R,0.05504319483985709,0.0,True,0.9449568051601429,0.13345246973217645,0.8665475302678236,0.9057521677139833
Time,0.10872778196084543,0.0,True,0.8912722180391546,0.13124987656535442,0.8687501234346455,0.8800111707369
dist_CH_To_BS,0.15935747662378852,0.0,True,0.8406425233762115,0.15151487439155617,0.8484851256084438,0.8445638244923277
Data_Sent_To_BS,0.16071395401544974,0.0,True,0.8392860459845503,0.15104899506015193,0.8489510049398481,0.8441185254621992
Expaned Energy,0.20260211570692777,0.0,True,0.7973978842930722,0.1575056123655556,0.8424943876344444,0.8199461359637583
ADV_R,0.351424820410347,0.0,True,0.648575179589653,0.2650593155620744,0.7349406844379256,0.6917579320137893
SCH_R,0.3714497704724976,0.0,True,0.6285502295275024,0.2693464462897386,0.7306535537102614,0.679601891618882
Rank,0.4697328051309426,0.0,True,0.5302671948690574,0.18368939014931476,0.8163106098506853,0.6732889023598714
ADV_S,0.5300145921399531,0.0,True,0.46998540786004694,0.24444914327058848,0.7555508567294116,0.6127681322947293
Dist_To_CH,0.4594008847241178,0.0,True,0.5405991152758822,0.3202150301996614,0.6797849698003386,0.6101920425381104
JOIN_S,0.4598582710087341,0.0,True,0.5401417289912659,0.33410533514186375,0.6658946648581363,0.603018196924701
send_code,0.45961879406253203,0.0,True,0.540381205937468,0.37503550700230703,0.624964492997693,0.5826728494675805
DATA_S,0.4969503487934416,0.0,True,0.5030496512065584,0.37487837163079674,0.6251216283692033,0.5640856397878808
Is_CH,0.5300145921399531,0.0,True,0.46998540786004694,0.4002632202092586,0.5997367797907414,0.5348610938253942
