Feature,KS_Statistic,KS_P_Value,KS_Significant,KS_Quality_Score,JS_Divergence,JS_Similarity,Combined_Score
Time,0.1568820924222309,0.0,True,0.843117907577769,0.13750915680062037,0.8624908431993796,0.8528043753885743
SCH_S,0.21384573124483686,0.0,True,0.7861542687551631,0.1000912794508602,0.8999087205491398,0.8430314946521515
DATA_R,0.144026678405766,0.0,True,0.855973321594234,0.2113644747037931,0.788635525296207,0.8223044234452205
JOIN_R,0.21381642324863737,0.0,True,0.7861835767513626,0.14188305091797704,0.858116949082023,0.8221502629166928
dist_CH_To_BS,0.2177889273189667,0.0,True,0.7822110726810333,0.19230841806103166,0.8076915819389683,0.7949513273100008
Data_Sent_To_BS,0.22052075849017905,0.0,True,0.779479241509821,0.22987554646316394,0.7701244535368361,0.7748018475233285
Expaned Energy,0.26953794379369966,0.0,True,0.7304620562063003,0.19576007851422159,0.8042399214857784,0.7673509888460394
ADV_R,0.37664870253944427,0.0,True,0.6233512974605557,0.2810300334665737,0.7189699665334264,0.671160631996991
SCH_R,0.4795383661480137,0.0,True,0.5204616338519863,0.3465184249297086,0.6534815750702914,0.5869716044611388
Rank,0.5710689386362675,0.0,True,0.4289310613637325,0.26186967776945985,0.7381303222305402,0.5835306917971363
ADV_S,0.6314407464438082,0.0,True,0.3685592535561918,0.2516943869191221,0.7483056130808778,0.5584324333185349
Dist_To_CH,0.5554744202948784,0.0,True,0.44452557970512163,0.3909292842846465,0.6090707157153534,0.5267981477102375
JOIN_S,0.5555703373733493,0.0,True,0.44442966262665073,0.4043774661410028,0.5956225338589972,0.520026098242824
send_code,0.5555703373733493,0.0,True,0.44442966262665073,0.4118929233669074,0.5881070766330926,0.5162683696298717
DATA_S,0.5964496633449762,0.0,True,0.4035503366550238,0.43903738916450763,0.5609626108354924,0.4822564737452581
Is_CH,0.6314407464438082,0.0,True,0.3685592535561918,0.47094632129239,0.52905367870761,0.4488064661319009
