Feature,KS_Statistic,KS_P_Value,KS_Significant,KS_Quality_Score,JS_Divergence,JS_Similarity,Combined_Score
DATA_R,0.05082215827409753,0.0,True,0.9491778417259025,0.08284895192096962,0.9171510480790304,0.9331644449024664
Time,0.08568555406365008,0.0,True,0.9143144459363499,0.09022883447415858,0.9097711655258414,0.9120428057310956
Data_Sent_To_BS,0.11003653242620048,0.0,True,0.8899634675737995,0.08634532443763858,0.9136546755623615,0.9018090715680804
dist_CH_To_BS,0.11003653242620048,0.0,True,0.8899634675737995,0.1038837921607438,0.8961162078392562,0.8930398377065278
Expaned Energy,0.142796379446889,0.0,True,0.8572036205531111,0.07692307376171484,0.9230769262382852,0.8901402733956981
SCH_S,0.14591774403105984,0.0,True,0.8540822559689402,0.12654664796160145,0.8734533520383986,0.8637678040036694
JOIN_R,0.146005641209228,0.0,True,0.853994358790772,0.1435806964842556,0.8564193035157444,0.8552068311532581
ADV_R,0.18026099353091563,0.0,True,0.8197390064690844,0.15860030967419575,0.8413996903258043,0.8305693483974443
Rank,0.30653379214238385,0.0,True,0.6934662078576161,0.13850436993694937,0.8614956300630506,0.7774809189603333
SCH_R,0.26394297009602763,0.0,True,0.7360570299039724,0.1943022760757734,0.8056977239242266,0.7708773769140995
ADV_S,0.33656948784644103,0.0,True,0.663430512153559,0.16329103980783627,0.8367089601921638,0.7500697361728614
Dist_To_CH,0.2989619431899505,0.0,True,0.7010380568100495,0.21271318833141642,0.7872868116685836,0.7441624342393165
JOIN_S,0.2990284961474009,0.0,True,0.7009715038525991,0.22238114039372436,0.7776188596062756,0.7392951817294373
send_code,0.29902013032679753,0.0,True,0.7009798696732025,0.2241840581593877,0.7758159418406123,0.7383979057569074
DATA_S,0.31922011300840814,0.0,True,0.6807798869915919,0.24480427190322882,0.7551957280967712,0.7179878075441815
Is_CH,0.33656948784644103,0.0,True,0.663430512153559,0.2705509862118078,0.7294490137881922,0.6964397629708756
