Feature,KS_Statistic,KS_P_Value,KS_Significant,KS_Quality_Score,JS_Divergence,JS_Similarity,Combined_Score
DATA_R,0.10237641655600926,0.0,True,0.8976235834439907,0.15057141612205222,0.8494285838779478,0.8735260836609693
Data_Sent_To_BS,0.2165625854307649,0.0,True,0.7834374145692351,0.14728230613094492,0.852717693869055,0.8180775542191451
Time,0.1862972892469923,0.0,True,0.8137027107530077,0.18544587978287772,0.8145541202171223,0.814128415485065
dist_CH_To_BS,0.2165625854307649,0.0,True,0.7834374145692351,0.18258885880817433,0.8174111411918257,0.8004242778805304
Expaned Energy,0.2933309578910267,0.0,True,0.7066690421089733,0.13169967362781035,0.8683003263721897,0.7874846842405815
SCH_S,0.2918174748781692,0.0,True,0.7081825251218308,0.19948081158917216,0.8005191884108278,0.7543508567663293
JOIN_R,0.2919881705851378,0.0,True,0.7080118294148622,0.24099843043245542,0.7590015695675446,0.7335066994912034
ADV_R,0.3653972655801,0.0,True,0.6346027344199,0.29020164658802206,0.709798353411978,0.672200543915939
ADV_S,0.6794935070047309,0.0,True,0.3205064929952691,0.24222175425769613,0.7577782457423039,0.5391423693687865
Rank,0.6192187058899974,0.0,True,0.3807812941100026,0.30448459956571905,0.695515400434281,0.5381483472721418
SCH_R,0.5362605580605494,0.0,True,0.4637394419394506,0.3897070246596766,0.6102929753403235,0.5370162086398871
Dist_To_CH,0.6038374975611971,0.0,True,0.3961625024388029,0.4283730538974347,0.5716269461025654,0.48389472427068414
JOIN_S,0.6039650642260004,0.0,True,0.3960349357739996,0.44246811540208625,0.5575318845979138,0.4767834101859567
send_code,0.603943856940692,0.0,True,0.39605614305930803,0.44562383212672546,0.5543761678732746,0.4752161554662913
DATA_S,0.6446400521458054,0.0,True,0.35535994785419456,0.47364638384664676,0.5263536161533533,0.44085678200377393
Is_CH,0.6794935070047309,0.0,True,0.3205064929952691,0.506453884626677,0.49354611537332305,0.4070263041842961
