Model,Class,Method,No_OS_Recall,OS_Recall,Improvement,Pct_Change
Extra_Trees,Blackhole,Conservative_SMOTE,0.9985074626865672,0.9985074626865672,0.0,0.0
Extra_Trees,Blackhole,ADASYN,0.9985074626865672,0.9134328358208955,-0.08507462686567169,-8.520179372197314
Extra_Trees,Blackhole,BorderlineSMOTE,0.9985074626865672,0.7318407960199005,-0.2666666666666667,-26.706527154957655
Extra_Trees,Blackhole,SMOTE_ENN,0.9985074626865672,0.9990049751243781,0.0004975124378109319,0.04982561036372562
Extra_Trees,Grayhole,Conservative_SMOTE,0.9561466570812365,0.9299065420560748,-0.02624011502516166,-2.7443609022556292
Extra_Trees,Grayhole,ADASYN,0.9561466570812365,0.9672897196261683,0.011143062544931803,1.1654135338345968
Extra_Trees,Grayhole,BorderlineSMOTE,0.9561466570812365,0.9780733285406182,0.021926671459381764,2.2932330827067697
Extra_Trees,Grayhole,SMOTE_ENN,0.9561466570812365,0.9324227174694465,-0.02372393961178998,-2.4812030075187863
Extra_Trees,Flooding,Conservative_SMOTE,1.0,1.0,0.0,0.0
Extra_Trees,Flooding,ADASYN,1.0,0.9984152139461173,-0.0015847860538826808,-0.15847860538826808
Extra_Trees,Flooding,BorderlineSMOTE,1.0,0.9968304278922345,-0.0031695721077654726,-0.31695721077654726
Extra_Trees,Flooding,SMOTE_ENN,1.0,1.0,0.0,0.0
Random_Forest,Blackhole,Conservative_SMOTE,0.9970149253731343,0.9960199004975124,-0.0009950248756218638,-0.09980039920159413
Random_Forest,Blackhole,ADASYN,0.9970149253731343,0.9920398009950249,-0.00497512437810943,-0.4990019960079818
Random_Forest,Blackhole,BorderlineSMOTE,0.9970149253731343,0.9855721393034826,-0.011442786069651656,-1.1477045908183547
Random_Forest,Blackhole,SMOTE_ENN,0.9970149253731343,0.9945273631840796,-0.0024875621890546595,-0.24950099800398534
Random_Forest,Grayhole,Conservative_SMOTE,0.9795111430625449,0.9874191229331416,0.00790797987059666,0.8073394495412811
Random_Forest,Grayhole,ADASYN,0.9795111430625449,0.98705966930266,0.007548526240115039,0.7706422018348638
Random_Forest,Grayhole,BorderlineSMOTE,0.9795111430625449,0.9892163910855499,0.009705248023004986,0.9908256880733898
Random_Forest,Grayhole,SMOTE_ENN,0.9795111430625449,0.9884974838245866,0.008986340762041634,0.9174311926605441
Random_Forest,Flooding,Conservative_SMOTE,1.0,1.0,0.0,0.0
Random_Forest,Flooding,ADASYN,1.0,1.0,0.0,0.0
Random_Forest,Flooding,BorderlineSMOTE,1.0,1.0,0.0,0.0
Random_Forest,Flooding,SMOTE_ENN,1.0,1.0,0.0,0.0
Gradient_Boosting,Blackhole,HistConservative_SMOTE,0.9945273631840796,0.9965174129353234,0.0019900497512437276,0.2001000500250071
Gradient_Boosting,Blackhole,Conservative_SMOTE,0.9945273631840796,0.9940298507462687,-0.0004975124378109319,-0.05002501250625178
Gradient_Boosting,Blackhole,HistADASYN,0.9945273631840796,0.9870646766169154,-0.007462686567164201,-0.750375187593799
Gradient_Boosting,Blackhole,ADASYN,0.9945273631840796,0.991044776119403,-0.0034825870646766344,-0.35017508754377363
Gradient_Boosting,Blackhole,HistBorderlineSMOTE,0.9945273631840796,0.9656716417910448,-0.028855721393034828,-2.9014507253626816
Gradient_Boosting,Blackhole,BorderlineSMOTE,0.9945273631840796,0.9840796019900497,-0.010447761194029903,-1.0505252626313208
Gradient_Boosting,Blackhole,HistSMOTE_ENN,0.9945273631840796,0.9930348258706467,-0.0014925373134329067,-0.15007503751876652
Gradient_Boosting,Blackhole,SMOTE_ENN,0.9945273631840796,0.9970149253731343,0.0024875621890546595,0.2501250625312589
Gradient_Boosting,Grayhole,HistConservative_SMOTE,0.9831056793673616,0.9809489575844716,-0.0021567217828899476,-0.21937842778792815
Gradient_Boosting,Grayhole,Conservative_SMOTE,0.9831056793673616,0.9895758447160317,0.006470165348670065,0.658135283363807
Gradient_Boosting,Grayhole,HistADASYN,0.9831056793673616,0.9723220704529115,-0.010783608914450071,-1.0968921389396746
Gradient_Boosting,Grayhole,ADASYN,0.9831056793673616,0.985981308411215,0.0028756290438534116,0.29250457038391925
Gradient_Boosting,Grayhole,HistBorderlineSMOTE,0.9831056793673616,0.9820273184759166,-0.0010783608914449738,-0.10968921389396408
Gradient_Boosting,Grayhole,BorderlineSMOTE,0.9831056793673616,0.9863407620416966,0.0032350826743350325,0.3290676416819035
Gradient_Boosting,Grayhole,HistSMOTE_ENN,0.9831056793673616,0.9852624011502517,0.0021567217828900587,0.21937842778793942
Gradient_Boosting,Grayhole,SMOTE_ENN,0.9831056793673616,0.9899352983465133,0.006829618979151686,0.6946983546617913
Gradient_Boosting,Flooding,HistConservative_SMOTE,0.9318541996830428,0.9889064976228209,0.05705229793977806,6.122448979591829
Gradient_Boosting,Flooding,Conservative_SMOTE,0.9318541996830428,0.9873217115689382,0.05546751188589538,5.95238095238095
